Customer_Firstname,Customer_Lastname,Cust_Name,Gender_Code,Address1,City,State,Country_Code,Postal_Code,Postal_Code_Plus4,Address2,Email_Address,Phone_Number,Creditcard_Type,Locality,Salesman_Id,Nationality,National_Id,Creditcard_Number,Driver_License,Cust_Id,Order_Id,Order_Date,Order_Time,Freight_Charges,Order_Salesman,Order_Posted_Date,Order_Ship_Date,Age,Order_Value,Order Size (IF),Order Size (IFS),T_Type,Purchase_Touchpoint,Complete?,Purchase_Status,Order_Type,Generation,Baby Food,Diapers,Formula,Lotion,Baby Wash,Wipes,Fresh Fruits,Fresh Vegetables,Beer,Wine,Club Soda,Sports Drink,Chips,Popcorn,Oatmeal,Medicines,Canned Foods,Cigarettes,Cheese,Cleaning Products,Condiments,Frozen Foods,Kitchen Items,Meat,Office Supplies,Personal Care,Pet Supplies,Sea Food,Spices
Thomas ,Owens ,Thomas Owens ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.62102E+15,,10015,8633,00:00:00,00:17:24.600000,11.15,NC100 ,00:00:00,2016-08-20 00:00:00,60,49.94,Small,Small,cancelled,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony ,Carr ,Anthony Carr ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01148E+15,,10019,792,00:00:00,00:47:56.400000,9.22,SC259 ,00:00:00,2016-02-20 00:00:00,53,28.35,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony ,Carr ,Anthony Carr ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01153E+15,,10019,1257,00:00:00,00:47:24.600000,13.33,SC193 ,00:00:00,2016-08-20 00:00:00,53,29.82,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony ,Carr ,Anthony Carr ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01108E+15,,10019,2488,00:00:00,00:13:54.600000,2.87,SW277 ,00:00:00,2016-03-27 00:00:00,53,14.36,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony ,Carr ,Anthony Carr ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01111E+15,,10019,2836,00:00:00,00:29:06.200000,6.05,NC298 ,00:00:00,2016-07-27 00:00:00,53,9.06,Small,Small,in-progress,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony ,Carr ,Anthony Carr ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01194E+15,,10019,5456,00:00:00,00:50:44.900000,23.37,RP253 ,00:00:00,2016-10-03 00:00:00,53,36.5,Small,Small,complete,Phone,No,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin ,Schmitz ,Melvin Schmitz ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.17278E+15,,10027,139,00:00:00,00:33:44.800000,24.08,NW184 ,00:00:00,2016-12-20 00:00:00,32,10.11,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Melvin ,Schmitz ,Melvin Schmitz ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.23592E+15,,10027,831,00:00:00,00:33:59.500000,7.02,SE265 ,00:00:00,2016-11-25 00:00:00,32,42.16,Small,Small,cancelled,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin ,Schmitz ,Melvin Schmitz ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.98819E+15,,10027,6961,00:00:00,00:29:06.200000,11.45,NC358 ,00:00:00,2016-07-23 00:00:00,32,48.35,Small,Small,abandoned,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melvin ,Schmitz ,Melvin Schmitz ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.64486E+15,,10027,8622,00:00:00,00:07:39.400000,9.51,SC256 ,00:00:00,2016-11-14 00:00:00,32,5.1,Small,Small,in-progress,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John ,Hoffman ,John Hoffman ,Mr.,1660 Lighthouse Drive,Akron,OH,US,44311,0,,John.D.Hoffman@trashymail.com,608-822-4333,American Express,,SW274 ,IT,RGQKFP86T41C178Z,3.77308E+14,,10031,1369,00:00:00,00:32:50.800000,21.97,NW247 ,00:00:00,2016-01-15 00:00:00,46,24.66,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Muriel ,Exley ,Muriel Exley ,Mrs.,2645 Kooter Lane,Alba Di Canazei,TN,IT,38030,0,,Muriel.J.Exley@trashymail.com,0326 8920950,Discover,,SW412 ,FR,2.67E+14,6.012E+15,,10035,5328,00:00:00,00:32:45.200000,33.85,NE304 ,00:00:00,2016-07-15 00:00:00,46,49.16,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James ,Moyle ,James Moyle ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.1552E+15,,10039,421,00:00:00,00:33:44.800000,22.77,NE367 ,00:00:00,2016-12-20 00:00:00,72,224.71,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
James ,Moyle ,James Moyle ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.17976E+15,,10039,5317,00:00:00,00:34:16.600000,5.85,NW115 ,00:00:00,2016-12-19 00:00:00,72,235.6,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
James ,Moyle ,James Moyle ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.12895E+15,,10039,5855,00:00:00,00:33:44.900000,17.2,NW112 ,00:00:00,2016-05-30 00:00:00,72,164.54,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Calvin ,Shupe ,Calvin Shupe ,Mr.,3335 Willow Oaks Lane,Albosaggia,SO,IT,23100,0,,Calvin.M.Shupe@spambob.com,0331 4473271,VISA,,NE373 ,IT,RHFGBS20R46E848A,4.30857E+15,,10047,529,00:00:00,00:47:39.400000,9,SC388 ,00:00:00,2016-06-15 00:00:00,49,45.66,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.40583E+14,,10051,1352,00:00:00,00:27:55.600000,13.33,SE271 ,00:00:00,2016-10-09 00:00:00,47,18.99,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.78254E+14,,10051,3079,00:00:00,00:19:46.200000,7.85,NW250 ,00:00:00,2016-03-12 00:00:00,47,43.14,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.40232E+14,,10051,5296,00:00:00,00:44:16.600000,48.52,NE178 ,00:00:00,2016-12-20 00:00:00,47,27.45,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.45077E+14,,10051,5312,00:00:00,00:07:36.400000,17.6,NC424 ,00:00:00,2016-01-07 00:00:00,47,27.45,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.77264E+14,,10051,6481,00:00:00,00:32:45.100000,17.87,RP190 ,00:00:00,2016-06-15 00:00:00,47,28.6,Small,Small,cancelled,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.7498E+14,,10051,6487,00:00:00,00:43:54.600000,17.87,NW181 ,00:00:00,2016-12-12 00:00:00,47,42.24,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso ,Frazier ,Alfonso Frazier ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.4323E+14,,10051,7945,00:00:00,00:47:52.600000,21.97,NE241 ,00:00:00,2016-04-25 00:00:00,47,8.04,Small,Small,in-progress,Phone,No,Occasional,LowValue,GEN_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda ,Fullilove ,Reda Fullilove ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.605E+13,,10055,925,00:00:00,00:47:52.600000,19.25,WE157 ,00:00:00,2016-04-25 00:00:00,24,32.11,Small,Small,in-progress,Phone,No,FirstTime,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reda ,Fullilove ,Reda Fullilove ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.64249E+13,,10055,1282,00:00:00,00:47:52.600000,23.37,WE157 ,00:00:00,2016-04-25 00:00:00,24,223.31,Medium,Medium,complete,Phone,No,FirstTime,HighValue,GEN_Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Reda ,Fullilove ,Reda Fullilove ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.62953E+13,,10055,4950,00:00:00,00:43:54.600000,18.45,NE103 ,00:00:00,2016-10-27 00:00:00,24,129.77,Medium,Medium,complete,Phone,No,FirstTime,MediumValue,GEN_Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cecil ,Games ,Cecil Games ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.1E+14,4.62126E+15,,10059,1985,00:00:00,00:25:36.600000,21.97,WE415 ,00:00:00,2016-03-30 00:00:00,age-32,5.91,Small,Small,in-progress,Phone,No,FirstTime,LowValue,GEN_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecil ,Games ,Cecil Games ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.1E+14,4.69908E+15,,10059,3363,00:00:00,00:23:44.800000,68.57,NW244 ,00:00:00,2016-12-15 00:00:00,age-32,173.62,Medium,Medium,complete,Phone,No,FirstTime,HighValue,GEN_Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Edward ,Turner ,Edward Turner ,Mr.,3179 Stratford Drive,Alexandrian,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.61394E+13,,10063,564,00:00:00,00:58:44.900000,7.12,SW343 ,00:00:00,2016-05-30 00:00:00,65,198.38,Medium,Medium,cancelled,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Edward ,Turner ,Edward Turner ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.62541E+13,,10063,1506,00:00:00,00:34:16.600000,22.77,SE403 ,00:00:00,2016-09-09 00:00:00,65,242.23,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Edward ,Turner ,Edward Turner ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.62374E+13,,10063,3586,00:00:00,00:34:16.600000,11.45,NW115 ,00:00:00,2016-12-19 00:00:00,65,270.16,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Amy ,Randle ,Amy Randle ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.59416E+15,,10067,1042,00:00:00,00:57:35.600000,27.99,SE334 ,00:00:00,2016-10-09 00:00:00,28,57.87,Small,Small,cancelled,Phone,No,Frequent,MediumValue,GEN_Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Amy ,Randle ,Amy Randle ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.63068E+15,,10067,1239,00:00:00,00:29:06.200000,7.85,SE208 ,00:00:00,2016-03-01 00:00:00,28,378,Large,Large,complete,Phone,No,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rafael ,Middleton ,Rafael Middleton ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52892E+15,,10075,670,00:00:00,00:39:06.200000,11.85,SC130 ,00:00:00,2016-02-27 00:00:00,73,142.54,Medium,Medium,complete,Desktop,No,Frequent,MediumValue,BABY_BOOMERS,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Rafael ,Middleton ,Rafael Middleton ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52868E+15,,10075,2231,00:00:00,00:47:56.400000,9,WE220 ,00:00:00,2016-12-25 00:00:00,73,197.81,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Rafael ,Middleton ,Rafael Middleton ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52816E+15,,10075,9068,00:00:00,00:07:36.400000,16.27,NW379 ,00:00:00,2016-01-03 00:00:00,73,179.38,Medium,Medium,complete,Desktop,No,Frequent,HighValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Earl ,Bruner ,Earl Bruner ,Mr.,3155 Single Street,Alma,QC,CA,G8B 2W5,0,,Earl.M.Bruner@pookmail.com,613-353-4540,American Express,,NE172 ,ES,5873675G,3.77233E+14,,10079,3545,00:00:00,00:57:39.400000,6.37,SW142 ,00:00:00,2016-04-30 00:00:00,19,20.37,Small,Small,complete,Phone,No,Frequent,LowValue,GEN_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Linda ,Garcia ,Linda Garcia ,Mrs.,2306 Thrash Trail,Alpo,VR,IT,37060,0,,Linda.J.Garcia@mailinator.com,0317 2702530,JCB,,SE268 ,U.S.,22868164,3.5289E+15,,10083,1728,00:00:00,00:59:36.200000,17.87,SC199 ,00:00:00,2016-12-27 00:00:00,40,560,Large,Large,complete,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn ,Perry ,Quinn Perry ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,3.4364E+14,,10091,3359,00:00:00,00:59:36.200000,68.57,SC199 ,00:00:00,2016-12-27 00:00:00,40,24.08,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Quinn ,Perry ,Quinn Perry ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,3.74897E+14,,10091,6717,00:00:00,00:13:54.600000,13.25,SE400 ,00:00:00,2016-07-03 00:00:00,40,5.2,Small,Small,complete,Phone,No,Occasional,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
